Название,Компания,Зарплата,Ссылка,Регион,Дата,Опыт работы,Территория_ВО,Категория
Персональный водитель,Мария Николаевна Моделкина,от 60000 руб.,https://hh.ru/vacancy/116710368,Владимир,03.02.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Бухгалтер по расчетам с контрагентами,ГУП ДСУ-3,от 60000 руб.,https://hh.ru/vacancy/116761514,Владимир,04.02.2025,Данные отсутствуют,Город Владимир,"Финансы, бухгалтерия"
Инженер,ИнфоЦентр,75000-100000 руб.,https://hh.ru/vacancy/116839811,Владимир,06.02.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Офис--менеджер (секретарь),Атмосфера,40000-60000 руб.,https://hh.ru/vacancy/116770413,Владимир,04.02.2025,Данные отсутствуют,Город Владимир,Административный персонал
Специалист по защите информации (сектор документооборота),ИнфоЦентр,75000-100000 руб.,https://hh.ru/vacancy/116839813,Владимир,06.02.2025,Данные отсутствуют,Город Владимир,Информационные технологии
Специалист по кадрам,КИД Медика,от 50000 руб.,https://hh.ru/vacancy/116814903,Владимир,05.02.2025,Данные отсутствуют,Город Владимир,"Управление персоналом, тренинги"
Младший специалист по тестированию (Junior QA),Организация качества,35000-35000 руб.,https://hh.ru/vacancy/116363038,Владимир,27.01.2025,Данные отсутствуют,Город Владимир,Информационные технологии
Менеджер по подбору персонала,АРГУС,50000-70000 руб.,https://hh.ru/vacancy/116830980,Владимир,06.02.2025,Данные отсутствуют,Город Владимир,"Управление персоналом, тренинги"
Специалист отдела выставления счетов,ИЗМЕТАЛЛА,48000-48000 руб.,https://hh.ru/vacancy/116885695,Владимир,07.02.2025,Данные отсутствуют,Город Владимир,Другое
Бухгалтер,ФМ,70000-70000 руб.,https://hh.ru/vacancy/116723139,Владимир,03.02.2025,Данные отсутствуют,Город Владимир,"Финансы, бухгалтерия"
Главный бухгалтер,Атмосфера,80000-80000 руб.,https://hh.ru/vacancy/116764884,Владимир,04.02.2025,Данные отсутствуют,Город Владимир,"Финансы, бухгалтерия"
Руководитель филиала,ПартКом,Данные отсутствуют,https://hh.ru/vacancy/116882762,Владимир,07.02.2025,Данные отсутствуют,Город Владимир,Высший и средний менеджмент
Управляющий отелем,ТЕЗА-СТРОЙ,от 75000 руб.,https://hh.ru/vacancy/116841892,Владимир,06.02.2025,Данные отсутствуют,Город Владимир,Высший и средний менеджмент
Manual QA Engineer,Altenar,Данные отсутствуют,https://hh.ru/vacancy/108532636,Владимир,13.01.2025,Данные отсутствуют,Город Владимир,Информационные технологии
Начальник отдела по связям с общественностью и СМИ,Государственный Владимиро-Суздальский музей-заповедник,67000-100000 руб.,https://hh.ru/vacancy/116758615,Владимир,04.02.2025,Данные отсутствуют,Город Владимир,Другое
Кладовщик-комплектовщик,"МC-Груп, Группа компаний",65000-75000 руб.,https://hh.ru/vacancy/116885065,Владимир,07.02.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Вечерний специалист по оформлению документов в отдел сервиса,ПРАВОКАРД,20000-40000 руб.,https://hh.ru/vacancy/116107642,Владимир,22.01.2025,Данные отсутствуют,Город Владимир,Другое
Специалист по кадровому делопроизводству,33 Болта,60000-60000 руб.,https://hh.ru/vacancy/116750007,Владимир,07.02.2025,Данные отсутствуют,Город Владимир,Административный персонал
Специалист по сканированию документов,Филиал Публично-Правовой компании Роскадастр по Владимирской Области,8000-40000 руб.,https://hh.ru/vacancy/115480287,Владимир,14.01.2025,Данные отсутствуют,Город Владимир,Другое
Middle Vue Frontend-разработчик,КайКом экспертс,Данные отсутствуют,https://hh.ru/vacancy/116579029,Владимир,30.01.2025,Данные отсутствуют,Город Владимир,Информационные технологии
Помощник главного бухгалтера,Эмеральд Экотехнологии,75000-75000 руб.,https://hh.ru/vacancy/116580380,Владимир,30.01.2025,Данные отсутствуют,Город Владимир,"Финансы, бухгалтерия"
Водитель-экспедитор,ОНЛАЙН ТРЕЙД.РУ,87000-98000 руб.,https://hh.ru/vacancy/116682093,Владимир,03.02.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Бухгалтер по расчету заработной платы,Экстра-Соя,80000-80000 руб.,https://hh.ru/vacancy/116711536,Владимир,06.02.2025,Данные отсутствуют,Город Владимир,"Финансы, бухгалтерия"
Помощник по хозяйству/ 3 раза в неделю,"НПП Макромер,ООО",Данные отсутствуют,https://hh.ru/vacancy/115408160,Владимир,05.02.2025,Данные отсутствуют,Город Владимир,"Домашний, обслуживающий персонал"
Водитель категории D (GAZelle Next),ВладСК,от 80000 руб.,https://hh.ru/vacancy/116685391,Владимир,03.02.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Офис-менеджер,Империя Чистоты,от 40000 руб.,https://hh.ru/vacancy/116737615,Владимир,04.02.2025,Данные отсутствуют,Город Владимир,Административный персонал
Юрисконсульт,Владимирская Дверная Компания,от 62000 руб.,https://hh.ru/vacancy/116804375,Владимир,05.02.2025,Данные отсутствуют,Город Владимир,Юристы
Менеджер по транспортной логистике,Юнт-Прод,от 60000 руб.,https://hh.ru/vacancy/116841470,Владимир,06.02.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Заместитель директора по кадровым и социальным вопросам,Почта России,от 100000 руб.,https://hh.ru/vacancy/116828941,Владимир,06.02.2025,Данные отсутствуют,Город Владимир,"Управление персоналом, тренинги"
Кладовщик-наборщик,Лавриненко Иван Евгеньевич,от 85000 руб.,https://hh.ru/vacancy/116824185,Владимир,06.02.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
QA Engineer / Тестировщик ПО,Hawking Bros,60000-80000 руб.,https://hh.ru/vacancy/116329320,Владимир,27.01.2025,Данные отсутствуют,Город Владимир,Информационные технологии
Инженер по безопасности музейных предметов,Государственный Владимиро-Суздальский музей-заповедник,46000-69000 руб.,https://hh.ru/vacancy/116760737,Владимир,04.02.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Дизайнер,ЗСО МАРКЕТ,Данные отсутствуют,https://hh.ru/vacancy/116611220,Владимир,06.02.2025,Данные отсутствуют,Город Владимир,"Искусство, развлечения, массмедиа"
Экономист,ГАУ ВЛАДИМИРСКОЙ ОБЛАСТИ ВЛАДИМИРСКИЙ АВТОВОКЗАЛ,62626-62626 руб.,https://hh.ru/vacancy/116773375,Владимир,05.02.2025,Данные отсутствуют,Город Владимир,"Финансы, бухгалтерия"
Менеджер по продажам (без поиска клиентов),Мир Дерева Владимир,от 70000 руб.,https://hh.ru/vacancy/116758040,Владимир,07.02.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Рерайтер,медиа-платформа ProГород Владимир,от 45000 руб.,https://hh.ru/vacancy/115913669,Владимир,20.01.2025,Данные отсутствуют,Город Владимир,Другое
Администратор,МБУК Центральный парк культуры и отдыха,от 40000 руб.,https://hh.ru/vacancy/116570469,Владимир,30.01.2025,Данные отсутствуют,Город Владимир,Другое
Маркетолог,Медсервис,от 120000 руб.,https://hh.ru/vacancy/116764773,Владимир,07.02.2025,Данные отсутствуют,Город Владимир,"Маркетинг, реклама, PR"
Комплектовщик,Владимирская мануфактура Альва,от 60000 руб.,https://hh.ru/vacancy/116759523,Владимир,04.02.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Администратор фитнес-клуба,Фитнесс пространство,от 40000 руб.,https://hh.ru/vacancy/116647542,Владимир,01.02.2025,Данные отсутствуют,Город Владимир,"Спортивные клубы, фитнес, салоны красоты"
Дорожный рабочий,ВладСК,от 70000 руб.,https://hh.ru/vacancy/116714720,Владимир,03.02.2025,Данные отсутствуют,Город Владимир,Другое
Event-менеджер,ГКУ ВО ЦЗН Владимирской области,от 50000 руб.,https://hh.ru/vacancy/116056531,Владимир,28.01.2025,Данные отсутствуют,Город Владимир,Другое
Приемщик-сдатчик,Abi,от 41700 руб.,https://hh.ru/vacancy/116903342,Владимир,07.02.2025,Данные отсутствуют,Город Владимир,Другое
Руководитель проектов,Аби Девелопмент,Данные отсутствуют,https://hh.ru/vacancy/116737658,Владимир,04.02.2025,Данные отсутствуют,Город Владимир,Высший и средний менеджмент
Администратор салона красоты,Группа компаний «Zalevsky Group»,от 70000 руб.,https://hh.ru/vacancy/116599604,Владимир,31.01.2025,Данные отсутствуют,Город Владимир,Другое
Администратор офиса в юридическую компанию,Плотников Максим Вячеславович,Данные отсутствуют,https://hh.ru/vacancy/116710974,Владимир,03.02.2025,Данные отсутствуют,Город Владимир,Административный персонал
Бухгалтер по расчетам с покупателями,Владимирская мануфактура Альва,от 60000 руб.,https://hh.ru/vacancy/116751240,Владимир,04.02.2025,Данные отсутствуют,Город Владимир,"Финансы, бухгалтерия"
Главный специалист по кадрам,ГБУК ВО Владимирская областная библиотека для детей и молодежи,40000-45000 руб.,https://hh.ru/vacancy/116624036,Владимир,31.01.2025,Данные отсутствуют,Город Владимир,"Управление персоналом, тренинги"
Педагог дополнительного образования,Школа Развития Интеллекта,40000-60000 руб.,https://hh.ru/vacancy/116561563,Владимир,30.01.2025,Данные отсутствуют,Город Владимир,"Наука, образование"
Продавец-флорист,Дари Цветы,от 40000 руб.,https://hh.ru/vacancy/116645768,Владимир,01.02.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Секретарь руководителя,ГБУ Владимирской области Облстройзаказчик,до 40000 руб.,https://hh.ru/vacancy/116757535,Владимир,04.02.2025,Данные отсутствуют,Город Владимир,Административный персонал
Сканировщик заказов на ПВЗ,Сириус,46000-136400 руб.,https://hh.ru/vacancy/116722629,Владимир,03.02.2025,Данные отсутствуют,Город Владимир,Другое
Промышленный альпинист,СК Авант,120000-220000 руб.,https://hh.ru/vacancy/116767997,Владимир,04.02.2025,Данные отсутствуют,Город Владимир,Другое
Системный администратор,МИНИСТЕРСТВО ПРИРОДОПОЛЬЗОВАНИЯ И ЭКОЛОГИИ ВЛАДИМИРСКОЙ ОБЛАСТИ,55000-55000 руб.,https://hh.ru/vacancy/116903215,Владимир,07.02.2025,Данные отсутствуют,Город Владимир,Другое
Водитель-экспедитор на личном автомобиле,"МC-Груп, Группа компаний",65000-75000 руб.,https://hh.ru/vacancy/116885012,Владимир,07.02.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Менеджер по персоналу,НПО Магнетон,от 50000 руб.,https://hh.ru/vacancy/116846243,Владимир,06.02.2025,Данные отсутствуют,Город Владимир,"Управление персоналом, тренинги"
Менеджер по закупкам и снабжению,ВладСК,от 70000 руб.,https://hh.ru/vacancy/116607702,Владимир,31.01.2025,Данные отсутствуют,Город Владимир,Закупки
Ученик оператора станков с ЧПУ (кромкооблицовка),WoodCraft,80000-120000 руб.,https://hh.ru/vacancy/115881659,Владимир,05.02.2025,Данные отсутствуют,Город Владимир,Другое
Администратор АИИС КУЭ,Российские Коммунальные Системы,от 110000 руб.,https://hh.ru/vacancy/116541323,Владимир,30.01.2025,Данные отсутствуют,Город Владимир,Другое
Офис-менеджер,ЭТК Электро Дизайн,35000-55000 руб.,https://hh.ru/vacancy/116778819,Владимир,05.02.2025,Данные отсутствуют,Город Владимир,Административный персонал
Менеджер контроля качества,Люфт-Кэт,60000-100000 руб.,https://hh.ru/vacancy/116360051,Владимир,05.02.2025,Данные отсутствуют,Город Владимир,Другое
Системный администратор,ВладСК,от 80000 руб.,https://hh.ru/vacancy/116458396,Владимир,28.01.2025,Данные отсутствуют,Город Владимир,Другое
Мебельщик на производство,Всебочки.ру,85000-130000 руб.,https://hh.ru/vacancy/116861327,Владимир,07.02.2025,Данные отсутствуют,Город Владимир,Другое
Техник по ремонту и обслуживанию инструмента,ПК Хоммет,80000-150000 руб.,https://hh.ru/vacancy/116804272,Владимир,05.02.2025,Данные отсутствуют,Город Владимир,Другое
Педагог дошкольного образования (центр развития),СПК 33,55000-55000 руб.,https://hh.ru/vacancy/115709240,Владимир,16.01.2025,Данные отсутствуют,Город Владимир,"Наука, образование"
Аккаунт-менеджер,медиа-платформа ProГород Владимир,60000-120000 руб.,https://hh.ru/vacancy/115915030,Владимир,06.02.2025,Данные отсутствуют,Город Владимир,Другое
Бухгалтер,Перспектива,50000-60000 руб.,https://hh.ru/vacancy/116765507,Владимир,04.02.2025,Данные отсутствуют,Город Владимир,"Финансы, бухгалтерия"
Уборщица/Уборщик,Марал,от 17500 руб.,https://hh.ru/vacancy/115144980,Владимир,09.01.2025,Данные отсутствуют,Город Владимир,"Домашний, обслуживающий персонал"
Менеджер по продажам автомобилей,Техцентр Гранд,от 75000 руб.,https://hh.ru/vacancy/115217564,Владимир,10.01.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Специалист по учебно-методической работе,Центр международного образования ВлГУ,15000-17900 руб.,https://hh.ru/vacancy/115552729,Владимир,14.01.2025,Данные отсутствуют,Город Владимир,Другое
Кладовщик,ОМЕГА,от 60000 руб.,https://hh.ru/vacancy/116722663,Владимир,03.02.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Руководитель отдела продаж (интернет-магазин),Ортоника,150000-250000 руб.,https://hh.ru/vacancy/116692127,Владимир,03.02.2025,Данные отсутствуют,Город Владимир,Высший и средний менеджмент
Литейщик на машинах для литья под давлением,Владимирская мануфактура Альва,85000-120000 руб.,https://hh.ru/vacancy/114616106,Владимир,05.02.2025,Данные отсутствуют,Город Владимир,Другое
Оператор пункта выдачи заказов OZON,ПВЗ OZON (ИП Астахова Алёна Александровна),от 3000 руб.,https://hh.ru/vacancy/115820126,Владимир,18.01.2025,Данные отсутствуют,Город Владимир,Другое
Менеджер по продажам,Линкол,50000-200000 руб.,https://hh.ru/vacancy/116581235,Владимир,30.01.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Специалист по кадровому делопроизводству,Оптикстайл,Данные отсутствуют,https://hh.ru/vacancy/115681286,Владимир,16.01.2025,Данные отсутствуют,Город Владимир,Административный персонал
Менеджер по координации работы регионального склада,"Агреман, ООО, Ярославль",от 63500 руб.,https://hh.ru/vacancy/116761072,Владимир,04.02.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Главный бухгалтер на завод ЖБИ,АСВ-Владимир,130000-130000 руб.,https://hh.ru/vacancy/116709619,Владимир,03.02.2025,Данные отсутствуют,Город Владимир,"Финансы, бухгалтерия"
Инженер ПТО,ИК БРЭЙН,от 80000 руб.,https://hh.ru/vacancy/116780944,Владимир,05.02.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Специалист по обработке заявок,Компания Стандарт Оценка,40000-40000 руб.,https://hh.ru/vacancy/116559188,Владимир,30.01.2025,Данные отсутствуют,Город Владимир,Другое
Менеджер по логистике,Гус Логист,70000-300000 руб.,https://hh.ru/vacancy/115265129,Владимир,10.01.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Junior Frontend-разработчик,Дивлаб,Данные отсутствуют,https://hh.ru/vacancy/115511965,Владимир,07.02.2025,Данные отсутствуют,Город Владимир,Информационные технологии
Младший воспитатель (няня в центр развития),СПК 33,40000-40000 руб.,https://hh.ru/vacancy/115705093,Владимир,16.01.2025,Данные отсутствуют,Город Владимир,"Домашний, обслуживающий персонал"
Оператор службы клиентской поддержки,ГК Автотракт,от 46000 руб.,https://hh.ru/vacancy/109303744,Владимир,27.01.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Управляющий пабом,Четыре Пивовара,от 75000 руб.,https://hh.ru/vacancy/115242994,Владимир,10.01.2025,Данные отсутствуют,Город Владимир,Высший и средний менеджмент
Коммерческий директор / Директор по продажам (г. Владимир),Четыре Пивовара,150000-250000 руб.,https://hh.ru/vacancy/116155499,Владимир,23.01.2025,Данные отсутствуют,Город Владимир,Высший и средний менеджмент
Рабочий на производство,Владимирская фабрика мебели (ИП Малинкина Наталья Борисовна),60000-75000 руб.,https://hh.ru/vacancy/116609568,Владимир,05.02.2025,Данные отсутствуют,Город Владимир,Другое
Контролер линии,Владимирская мануфактура Альва,50000-55000 руб.,https://hh.ru/vacancy/115622051,Владимир,07.02.2025,Данные отсутствуют,Город Владимир,Безопасность
Менеджер по продажам в интернет-магазин,ВМК,от 70000 руб.,https://hh.ru/vacancy/116571025,Владимир,05.02.2025,Данные отсутствуют,Город Владимир,Добыча сырья
Менеджер по закупкам и логистике,ЭкоБилд,от 60000 руб.,https://hh.ru/vacancy/116592713,Владимир,07.02.2025,Данные отсутствуют,Город Владимир,Закупки
Менеджер учебного процесса,Компьютерная академия TOP (Компьютерная Академия ТОП),от 50000 руб.,https://hh.ru/vacancy/116742504,Владимир,04.02.2025,Данные отсутствуют,Город Владимир,Другое
Графический дизайнер,Полиграф Плюс,от 60000 руб.,https://hh.ru/vacancy/116168955,Владимир,23.01.2025,Данные отсутствуют,Город Владимир,"Искусство, развлечения, массмедиа"
Бухгалтер-кассир,Холдинговая Компания Тандем,60000-70000 руб.,https://hh.ru/vacancy/116610933,Владимир,06.02.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Администратор Гостиницы,Апартаменты Город Мастеров,44000-50000 руб.,https://hh.ru/vacancy/115590217,Владимир,15.01.2025,Данные отсутствуют,Город Владимир,"Туризм, гостиницы, рестораны"
Водитель,Комфорт,50000-70000 руб.,https://hh.ru/vacancy/115485529,Владимир,14.01.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Водитель-экспедитор категории B на Газель,Сельхозавтотранс,86000-86000 руб.,https://hh.ru/vacancy/115977187,Владимир,21.01.2025,Данные отсутствуют,Город Владимир,Добыча сырья
Менеджер по развитию,Оптимист,от 100000 руб.,https://hh.ru/vacancy/116546277,Владимир,05.02.2025,Данные отсутствуют,Город Владимир,Другое
Продавец,Извилина,от 50000 руб.,https://hh.ru/vacancy/116840605,Владимир,06.02.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Менеджер по оптовым продажам,Wood Wall Russia,70000-120000 руб.,https://hh.ru/vacancy/116764398,Владимир,04.02.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Менеджер по туризму,Золотая Русь,50000-150000 руб.,https://hh.ru/vacancy/116895845,Владимир,07.02.2025,Данные отсутствуют,Город Владимир,Другое
Инженер,Жилищник-Владимир,от 80000 руб.,https://hh.ru/vacancy/116900047,Владимир,07.02.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Водитель-снабженец,Автокрафт,от 60000 руб.,https://hh.ru/vacancy/112843697,Владимир,04.02.2025,Данные отсутствуют,Город Владимир,Закупки
Сварщик,Новые дисперсные материалы,80000-80000 руб.,https://hh.ru/vacancy/115226036,Владимир,06.02.2025,Данные отсутствуют,Город Владимир,Рабочий персонал
Менеджер отдела ВЭД,Гарнец,Данные отсутствуют,https://hh.ru/vacancy/116855272,Владимир,06.02.2025,Данные отсутствуют,Город Владимир,Другое
Продавец-консультант,Художественный магазин Арт-линия,42000-45000 руб.,https://hh.ru/vacancy/116660830,Владимир,02.02.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Директор по персоналу (производство),РОЭЛ Групп,Данные отсутствуют,https://hh.ru/vacancy/116719844,Владимир,03.02.2025,Данные отсутствуют,Город Владимир,Высший и средний менеджмент
Сборщик мебели,Владимирская фабрика мебели (ИП Малинкина Наталья Борисовна),55000-60000 руб.,https://hh.ru/vacancy/116800239,Владимир,05.02.2025,Данные отсутствуют,Город Владимир,Другое
"Счетчик-ревизор, г. Владимир",Работут,1800-4000 руб.,https://hh.ru/vacancy/116822635,Владимир,06.02.2025,Данные отсутствуют,Город Владимир,Другое
Младший маркетолог/PR в IT,flaton,30000-70000 руб.,https://hh.ru/vacancy/115911841,Владимир,20.01.2025,Данные отсутствуют,Город Владимир,"Маркетинг, реклама, PR"
Менеджер по персоналу,Комбинат Дубки,Данные отсутствуют,https://hh.ru/vacancy/116792224,Владимир,05.02.2025,Данные отсутствуют,Город Владимир,"Управление персоналом, тренинги"
Администратор,Анисимова Диана,42000-46000 руб.,https://hh.ru/vacancy/115983170,Владимир,21.01.2025,Данные отсутствуют,Город Владимир,Другое
Уборщица/Уборщик,Цой Александр Семенович,от 32000 руб.,https://hh.ru/vacancy/116068809,Владимир,22.01.2025,Данные отсутствуют,Город Владимир,"Домашний, обслуживающий персонал"
SEO-специалист,БЭСТ-МЕБЕЛЬ,Данные отсутствуют,https://hh.ru/vacancy/116734208,Владимир,04.02.2025,Данные отсутствуют,Город Владимир,"Маркетинг, реклама, PR"
Психолог/нейропсихолог,Первый медико-логопедический центр,от 40000 руб.,https://hh.ru/vacancy/116883004,Владимир,07.02.2025,Данные отсутствуют,Город Владимир,Другое
Контент-менеджер,ЦЕНТРАВТО СЕРВИС,от 50000 руб.,https://hh.ru/vacancy/116106516,Владимир,22.01.2025,Данные отсутствуют,Город Владимир,Другое
Менеджер по продажам в оптике,Оптикстайл,60000-150000 руб.,https://hh.ru/vacancy/115946794,Владимир,20.01.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Кладовщик,ЛесПромВолга,от 55000 руб.,https://hh.ru/vacancy/116779827,Владимир,05.02.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Официант в ночной клуб,Чайзер,45000-90000 руб.,https://hh.ru/vacancy/116369513,Владимир,27.01.2025,Данные отсутствуют,Город Владимир,"Туризм, гостиницы, рестораны"
Тракторист,ВладСК,от 80000 руб.,https://hh.ru/vacancy/116685362,Владимир,03.02.2025,Данные отсутствуют,Город Владимир,Сельское хозяйство
Администратор-оформитель в автосалон,ГК Автотракт,от 50000 руб.,https://hh.ru/vacancy/115388219,Владимир,20.01.2025,Данные отсутствуют,Город Владимир,Другое
Биолог,Клиника современных медицинских технологий,от 50000 руб.,https://hh.ru/vacancy/116518666,Владимир,29.01.2025,Данные отсутствуют,Город Владимир,Другое
Производитель соков,На соках,от 40000 руб.,https://hh.ru/vacancy/116766781,Владимир,04.02.2025,Данные отсутствуют,Город Владимир,Другое
"Начальник отдела информатизации, телекоммуникаций и защиты информации",ГКУ ВО ЦЗН Владимирской области,60000-80000 руб.,https://hh.ru/vacancy/116785693,Владимир,05.02.2025,Данные отсутствуют,Город Владимир,Другое
Старший кладовщик,ОМЕГА,60000-80000 руб.,https://hh.ru/vacancy/116721517,Владимир,03.02.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Секретарь судебного заседания,Арбитражный суд Владимирской области,24000-65000 руб.,https://hh.ru/vacancy/111732443,Владимир,27.01.2025,Данные отсутствуют,Город Владимир,Административный персонал
Фасовщик,Юнт-Прод,45000-60000 руб.,https://hh.ru/vacancy/115891032,Владимир,20.01.2025,Данные отсутствуют,Город Владимир,Другое
Менеджер по работе с клиентами,ИК БРЭЙН,от 70000 руб.,https://hh.ru/vacancy/112621403,Владимир,07.02.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Машинист башенного крана,СК Новый Век,Данные отсутствуют,https://hh.ru/vacancy/116131626,Владимир,07.02.2025,Данные отсутствуют,Город Владимир,Другое
Главный бухгалтер,Экстра-Соя,90000-120000 руб.,https://hh.ru/vacancy/115749771,Владимир,17.01.2025,Данные отсутствуют,Город Владимир,"Финансы, бухгалтерия"
Оператор ПК/Оператор базы данных,Торговый Дом Бриз,35000-45000 руб.,https://hh.ru/vacancy/116430895,Владимир,06.02.2025,Данные отсутствуют,Город Владимир,Другое
Менеджер по продажам,Ростелеком,до 35000 руб.,https://hh.ru/vacancy/108230418,Владимир,04.02.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
"Контент-менеджер ( Ozon, Яндекс Маркет )",ВМК,от 60000 руб.,https://hh.ru/vacancy/116539829,Владимир,06.02.2025,Данные отсутствуют,Город Владимир,"Маркетинг, реклама, PR"
Администратор на ресепшен,Батлер,от 45000 руб.,https://hh.ru/vacancy/115403787,Владимир,06.02.2025,Данные отсутствуют,Город Владимир,Другое
Менеджер по продажам,Извилина,от 60000 руб.,https://hh.ru/vacancy/116795812,Владимир,05.02.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Инженер-сметчик,СК Новый Век,от 65000 руб.,https://hh.ru/vacancy/116131624,Владимир,07.02.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Бариста,"МАЯК, кофе и керамика",от 40000 руб.,https://hh.ru/vacancy/116479476,Владимир,28.01.2025,Данные отсутствуют,Город Владимир,"Туризм, гостиницы, рестораны"
Аналитик,Самохвалов Павел Борисович,50000-80000 руб.,https://hh.ru/vacancy/116445689,Владимир,06.02.2025,Данные отсутствуют,Город Владимир,Другое
Швея на швейный поток,Славянка Текстиль,30000-80000 руб.,https://hh.ru/vacancy/106957235,Владимир,05.02.2025,Данные отсутствуют,Город Владимир,Другое
Копирайтер,Линкол,от 50000 руб.,https://hh.ru/vacancy/116109134,Владимир,22.01.2025,Данные отсутствуют,Город Владимир,"Искусство, развлечения, массмедиа"
Системный администратор,Плюс Компани,от 50000 руб.,https://hh.ru/vacancy/116432075,Владимир,28.01.2025,Данные отсутствуют,Город Владимир,Другое
Бухгалтер-менеджер,Клязьма-Тур,50000-70000 руб.,https://hh.ru/vacancy/116900725,Владимир,07.02.2025,Данные отсутствуют,Город Владимир,"Финансы, бухгалтерия"
Бухгалтер на первичную документацию,Аутсорсинговая компания Атлант,от 60000 руб.,https://hh.ru/vacancy/115862555,Владимир,19.01.2025,Данные отсутствуют,Город Владимир,"Финансы, бухгалтерия"
Менеджер по продажам запасный частей,Агродетальимпорт,от 80000 руб.,https://hh.ru/vacancy/115771211,Владимир,17.01.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Уборщик,ИНАРБИ,от 15000 руб.,https://hh.ru/vacancy/115706156,Владимир,16.01.2025,Данные отсутствуют,Город Владимир,"Домашний, обслуживающий персонал"
"Продавец-консультант (ул. Куйбышева, д. 28А, ОТК «Тандем»)",Управдом,50000-70000 руб.,https://hh.ru/vacancy/115534319,Владимир,14.01.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Диспетчер маневровый,ПЖТ Владимир,40000-40000 руб.,https://hh.ru/vacancy/115950550,Владимир,20.01.2025,Данные отсутствуют,Город Владимир,Другое
Монтажник,ПКП Кросс,60000-80000 руб.,https://hh.ru/vacancy/116391598,Владимир,27.01.2025,Данные отсутствуют,Город Владимир,"Строительство, недвижимость"
Продавец косметики и парфюмерии,Рич,32000-47000 руб.,https://hh.ru/vacancy/115760665,Владимир,17.01.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Уборщица/уборщик на склад,ГК Чайный дом,15000-15000 руб.,https://hh.ru/vacancy/115670669,Владимир,16.01.2025,Данные отсутствуют,Город Владимир,"Домашний, обслуживающий персонал"
Ведущий конструктор-механик,ВСЗ Техника,от 140000 руб.,https://hh.ru/vacancy/116578354,Владимир,30.01.2025,Данные отсутствуют,Город Владимир,"Искусство, развлечения, массмедиа"
Помощник маркетолога,ЦЕНТРАВТО СЕРВИС,от 50000 руб.,https://hh.ru/vacancy/116847669,Владимир,06.02.2025,Данные отсутствуют,Город Владимир,"Маркетинг, реклама, PR"
Мастер по строительству и ремонту автодорог,ВладСК,от 90000 руб.,https://hh.ru/vacancy/116685439,Владимир,03.02.2025,Данные отсутствуют,Город Владимир,"Строительство, недвижимость"
Помощник эмбриолога,Группа Компаний «Центр ЭКО»,Данные отсутствуют,https://hh.ru/vacancy/116035022,Владимир,21.01.2025,Данные отсутствуют,Город Владимир,Другое
Заместитель начальника автомобильного парка,Сельхозавтотранс,85000-85000 руб.,https://hh.ru/vacancy/116487093,Владимир,29.01.2025,Данные отсутствуют,Город Владимир,Другое
