Название,Компания,Зарплата,Ссылка,Регион,Дата,Опыт работы,Территория_ВО,Категория
Операционная медицинская сестра/Операционный медицинский брат,ГБУЗВО Областная клиническая больница г.Владимир,от 45000 руб.,https://hh.ru/vacancy/120702614,Владимир,18.06.2025,Данные отсутствуют,Город Владимир,"Медицина, фармацевтика"
Ведущий инженер по автоматике,ИЗМЕТАЛЛА,от 91955 руб.,https://hh.ru/vacancy/120921056,Владимир,23.05.2025,Данные отсутствуют,Город Владимир,"Искусство, развлечения, массмедиа"
Менеджер по продажам (климатических установок),Вентстроймонтаж,60000-90000 руб.,https://hh.ru/vacancy/121042793,Владимир,17.06.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Монтажник санитарно-технических систем и оборудования,Филиал ГКУ Владимирской области Центр занятости населения Владимирской области Суздальский,до 59400 руб.,https://hh.ru/vacancy/121388497,Суздаль,05.06.2025,Данные отсутствуют,Суздальский район,"Строительство, недвижимость"
Сотрудник ресторана ROSTIC`S (ТЦ Владимир),ЭЙ КЕЙ РЕСТОРАНТС РАША,44000-61000 руб.,https://hh.ru/vacancy/121247459,Владимир,02.06.2025,Данные отсутствуют,Город Владимир,Другое
Менеджер по развитию бизнеса,Совкомбанк,от 80000 руб.,https://hh.ru/vacancy/118302378,Владимир,18.06.2025,Данные отсутствуют,Город Владимир,Другое
Медицинская сестра процедурной/медицинский брат процедурной,ГБУЗВО Областная клиническая больница г.Владимир,от 29000 руб.,https://hh.ru/vacancy/120702976,Владимир,18.06.2025,Данные отсутствуют,Город Владимир,"Медицина, фармацевтика"
Специалист по обслуживанию аммиачных холодильных установок,Abi,от 60000 руб.,https://hh.ru/vacancy/121026396,Владимир,09.06.2025,Данные отсутствуют,Город Владимир,Другое
Пеший курьер,БУРГЕР КИНГ РОССИЯ,82000-115000 руб.,https://hh.ru/vacancy/121166063,Владимир,17.06.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Начальник управления реализации тепловой энергии,ВЛАДИМИРТЕПЛОГАЗ,100000-100000 руб.,https://hh.ru/vacancy/121262709,Владимир,03.06.2025,Данные отсутствуют,Город Владимир,Другое
Менеджер по продажам,Витаойл,60000-110000 руб.,https://hh.ru/vacancy/121437304,Владимир,07.06.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Начинающий специалист,Самолёт Плюс - Владимир офис 2,от 85000 руб.,https://hh.ru/vacancy/103374188,Владимир,16.06.2025,Данные отсутствуют,Город Владимир,Другое
Инженер по проектированию ВК,eastconsult,от 150000 руб.,https://hh.ru/vacancy/119971592,Владимир,15.06.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Повар,Abi,от 45000 руб.,https://hh.ru/vacancy/121416891,Владимир,06.06.2025,Данные отсутствуют,Город Владимир,"Туризм, гостиницы, рестораны"
Инженер по качеству (входной контроль),Abi,от 65000 руб.,https://hh.ru/vacancy/120683708,Судогда,16.06.2025,Данные отсутствуют,Судогодский муниципальный округ,"Производство, сервисное обслуживание"
"Кассир (Владимир, Большая Московская, 19А)",Перекрёсток,53700-56700 руб.,https://hh.ru/vacancy/121201673,Владимир,02.06.2025,Данные отсутствуют,Город Владимир,Розничная торговля
"Автокурьер в ""Пятерочку""",X5 Digital,до 140000 руб.,https://hh.ru/vacancy/101707953,Владимир,02.06.2025,Данные отсутствуют,Город Владимир,Другое
Медицинская сестра/Медицинский брат процедурной,ГБУЗВО Областная клиническая больница г.Владимир,от 35000 руб.,https://hh.ru/vacancy/120687374,Владимир,18.06.2025,Данные отсутствуют,Город Владимир,"Медицина, фармацевтика"
Инженер-проектировщик тепловых сетей,ВСТ-ГРУПП,110000-110000 руб.,https://hh.ru/vacancy/120894627,Владимир,23.05.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Машинист экскаватора,Abi,Данные отсутствуют,https://hh.ru/vacancy/121338028,Владимир,04.06.2025,Данные отсутствуют,Город Владимир,Другое
Инженер строительного контроля,ГБУ Владимирской области Облстройзаказчик,до 75000 руб.,https://hh.ru/vacancy/118975937,Владимир,09.06.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Администратор магазина (ТЦ Мега Торг),ZOLLA,54022-59425 руб.,https://hh.ru/vacancy/121426992,Владимир,06.06.2025,Данные отсутствуют,Город Владимир,Добыча сырья
Доставщик упакованных посылок и аптек (ежедневная оплата),НОВАЯ РАБОТА (ИП Лядов Владимир Антонович),4276-9523 руб.,https://hh.ru/vacancy/121508074,Владимир,10.06.2025,Данные отсутствуют,Город Владимир,Другое
Слесарь-ремонтник,Владимирский завод Электроприбор,48300-48300 руб.,https://hh.ru/vacancy/120519634,Владимир,17.06.2025,Данные отсутствуют,Город Владимир,Рабочий персонал
"Водитель (категории C, D, E - КАМАЗ, УРАЛ, КрАЗ, Федеральное подразделение)",Филиал ГКУ Владимирской области Центр занятости населения Владимирской области Владимирский,Данные отсутствуют,https://hh.ru/vacancy/121024737,Владимир,27.05.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Администратор - охранник (ТЦ Мегаторг),"РИВ ГОШ, Сеть магазинов",40000-50000 руб.,https://hh.ru/vacancy/121730181,Владимир,17.06.2025,Данные отсутствуют,Город Владимир,Безопасность
Врач приемного отделения,ГБУЗ ВО Городская клиническая больница скорой медицинской помощи г. Владимира,90000-100000 руб.,https://hh.ru/vacancy/102053460,Владимир,12.06.2025,Данные отсутствуют,Город Владимир,"Медицина, фармацевтика"
Курьер,Самокат (ООО Лидер консалт - официальный партнер),131520-170320 руб.,https://hh.ru/vacancy/117909510,Владимир,09.06.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
"Продавец (Владимир, Октябрьский, 43)",Перекрёсток,52900-55900 руб.,https://hh.ru/vacancy/121646484,Владимир,16.06.2025,Данные отсутствуют,Город Владимир,Розничная торговля
"Кладовщик сортировщик, г. Владимир",Компания Интерлогистика,55500-100000 руб.,https://hh.ru/vacancy/119828764,Владимир,26.05.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Заведующий складом Столовой,Центральный банк Российской Федерации (Банк России),Данные отсутствуют,https://hh.ru/vacancy/120798537,Владимир,21.05.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Акушерка/Акушер,ГБУЗВО Областная клиническая больница г.Владимир,от 41000 руб.,https://hh.ru/vacancy/120697516,Владимир,18.06.2025,Данные отсутствуют,Город Владимир,Другое
Менеджер в интернет-магазин,КОНТАКТОН,55000-65000 руб.,https://hh.ru/vacancy/120863399,Владимир,17.06.2025,Данные отсутствуют,Город Владимир,Добыча сырья
Оператор котельной,Владимирский завод Электроприбор,32380-35280 руб.,https://hh.ru/vacancy/117468851,Владимир,16.06.2025,Данные отсутствуют,Город Владимир,Другое
Специалист по МСФО,Abi,Данные отсутствуют,https://hh.ru/vacancy/120215388,Владимир,04.06.2025,Данные отсутствуют,Город Владимир,Другое
Ведущий специалист отдела по бухгалтерскому учету и отчетности,Управление ЖКХ администрации города Владимира,40000-45000 руб.,https://hh.ru/vacancy/120267259,Владимир,06.06.2025,Данные отсутствуют,Город Владимир,"Искусство, развлечения, массмедиа"
Фрезеровщик,РОЭЛ Групп,от 80000 руб.,https://hh.ru/vacancy/120427666,Владимир,09.06.2025,Данные отсутствуют,Город Владимир,Другое
Заместитель главного метролога,Владимирский завод Электроприбор,52800-52800 руб.,https://hh.ru/vacancy/118605920,Владимир,16.06.2025,Данные отсутствуют,Город Владимир,Другое
Лаборант / фельдшер-лаборант (КДЛ ДЦ),ГБУЗВО Областная клиническая больница г.Владимир,от 36500 руб.,https://hh.ru/vacancy/120704586,Владимир,18.06.2025,Данные отсутствуют,Город Владимир,"Медицина, фармацевтика"
"Монтажник систем вентиляции, кондиционирования и дымоудаления",Вентстроймонтаж,от 60000 руб.,https://hh.ru/vacancy/121007910,Владимир,19.06.2025,Данные отсутствуют,Город Владимир,"Строительство, недвижимость"
Менеджер по продажам,Самолёт Плюс - Владимир офис 2,80000-145000 руб.,https://hh.ru/vacancy/103309886,Владимир,19.06.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
"Продавец-консультант (ТЦ ""Торговые ряды"")",Свит Кэт Шоп,от 40500 руб.,https://hh.ru/vacancy/116463836,Владимир,19.06.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Составитель Фарша,Abi,от 75000 руб.,https://hh.ru/vacancy/120272408,Владимир,02.06.2025,Данные отсутствуют,Город Владимир,Другое
Заместитель начальника аналитического отдела,ГБУ ВО Центр Государственной Кадастровой Оценки Владимирской Области,от 42000 руб.,https://hh.ru/vacancy/97224615,Владимир,10.06.2025,Данные отсутствуют,Город Владимир,Другое
Главный специалист отдела государственных и муниципальных услуг,ГБУ ВО Центр развития цифровых технологий,от 38000 руб.,https://hh.ru/vacancy/120828666,Владимир,21.05.2025,Данные отсутствуют,Город Владимир,Другое
Автомойщик (техническая мойка),ГК АГАТ,45000-45000 руб.,https://hh.ru/vacancy/121667944,Владимир,16.06.2025,Данные отсутствуют,Город Владимир,Автомобильный бизнес
Оператор call-центра (входящие звонки),Горячие линии,45000-50000 руб.,https://hh.ru/vacancy/121482591,Владимир,09.06.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Инженер производственной SMT/SMD линии,ГК Системы и Технологии,от 75000 руб.,https://hh.ru/vacancy/104147789,Владимир,09.06.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Менеджер по развитию юридических лиц,Ростелеком,от 65000 руб.,https://hh.ru/vacancy/121337847,Владимир,04.06.2025,Данные отсутствуют,Город Владимир,Другое
Бухгалтер на первичную документацию,Консалтинг плюс,от 40000 руб.,https://hh.ru/vacancy/121283217,Владимир,18.06.2025,Данные отсутствуют,Город Владимир,"Финансы, бухгалтерия"
Ведущий специалист по определению кадастровой стоимости,ГБУ ВО Центр Государственной Кадастровой Оценки Владимирской Области,от 36000 руб.,https://hh.ru/vacancy/82759916,Владимир,10.06.2025,Данные отсутствуют,Город Владимир,"Искусство, развлечения, массмедиа"
Инженер-конструктор микроконтроллеров / Инженер-схемотехник,ГК Системы и Технологии,от 80000 руб.,https://hh.ru/vacancy/85686507,Владимир,09.06.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Технолог монтажного участка,ГК Системы и Технологии,от 55000 руб.,https://hh.ru/vacancy/104142719,Владимир,09.06.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Инженер-метролог,Abi,Данные отсутствуют,https://hh.ru/vacancy/119619747,Владимир,16.06.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Уборщик в магазин продуктов,"Сладкая жизнь, компания",от 34000 руб.,https://hh.ru/vacancy/117133222,Владимир,16.06.2025,Данные отсутствуют,Город Владимир,Добыча сырья
Заведующий отделением гнойной хирургии,ГБУЗ ВО Городская клиническая больница скорой медицинской помощи г. Владимира,110000-130000 руб.,https://hh.ru/vacancy/112769207,Владимир,18.06.2025,Данные отсутствуют,Город Владимир,Другое
